                                                                12.03.2025 16:30
________________________________________________________________________________



Curve Name:
  !&Acetaminophen01
Curve Values:
          Index          Value
                       [Wg^-1]
              0       0.174645
              5        0.61168
             10       0.457638
             15       0.425754
             20       0.446595
             25       0.475228
             30       0.504371
             35       0.533471
             40       0.563312
             45       0.595513
             50       0.639903
             55       0.725133
             60       0.887679
             65        1.12519
             70        1.48473
             75        1.80147
             80        2.25883
             85        2.75135
             90        2.75746
             95        2.57116
            100        2.37121
            105        1.87244
            110        1.36511
            115        1.08761
            120       0.991803
            125       0.900999
            130        0.88038
            135       0.902592
            140       0.905124
            145        0.88936
            150       0.859404
            155       0.914909
            160       0.853595
            165       0.845365
            170       0.864352
            175       0.843218
            180        0.83873
            185       0.843558
            190       0.831717
            195       0.828931
            200       0.831019
            205       0.832355
            210       0.834165
            215       0.835148
            220       0.837798
            225        0.84138
            230       0.843551
            235       0.844668
            240       0.846354
            245       0.849455
            250       0.853361
            255       0.857542
            260         0.8617
            265       0.864803
            270       0.867107
            275       0.866924
            280       0.842287
            285        0.88426
            290       0.891882
            295       0.892855
            300       0.889115
            305        0.88202
            310       0.861863
            315       0.792487
            320     0.00446065
            325       -5.97646
            330       -6.38361
            335        -2.1456
            340       0.314823
            345        0.75737
            350       0.852898
            355       0.879915
            360       0.891625
            365       0.900359
            370       0.907978
            375       0.915674
            380       0.924169
            385       0.932383
            390       0.940517
            395       0.948762
            400       0.956258
            405       0.958397
            410       0.968915
            415        1.01535
            420       0.837182
            425       0.692951
            430       0.743504
            435       0.733444
            440       0.709886
            445       0.686709
            450       0.665406
            455       0.646784
            460       0.630256
            465       0.615524
            470       0.602165
            475       0.590262
            480       0.579416


Results:
Sample:
  Acetaminophen01, 2.4000 mg


________________________________________________________________________________
Not signed                                                        STARe SW 18.00
